Key,Localized_vn,Localized_en,Localized_indo
﻿HELLO,Hello \n Guys Sơn hâm he he he é é ,Hello \n Guys Sơn hâm he he he é é ,"Hello \n Guys Sơn hâm he he he é é "";"
HELLO2,===Hello \n Guys,===Hello \n Guys,"===Hello \n Guys"";"
NAME_SILO,Kho Lương Thực : ,Silo : ,Gudang Pangan
NAME_WARE_HOUSE,Nhà Kho :,Warehouse :,Gudang Pangan
NAME_TAB_EMPTY_FIELD,Ô Ruộng,Field,petak Sawah
NAME_TAB_FRUIT_APPLE,Táo,Apple,Apel
NAME_TAB_FRUIT_RASPBERRY,Mâm Xôi,Raspberry,Raspberry
NAME_TAB_FRUIT_BLACKBERRY,Phúc Bồn Tử,Blackberry,Blackberry
NAME_TAB_FRUIT_CACAO,Ca Cao,Cacao,Kakao
NAME_TAB_FRUIT_CHERRY,Anh Đào,Cherry,Ceri
NAME_TAB_FRUIT_COFFEE,Cà Phê,Coffee,Kopi
NAME_TAB_CHICKEN,Gà,Chicken,Ayam
NAME_TAB_COW,Bò Sữa,Cow,Sapi perahan
NAME_TAB_PIG,Heo,Pig,Babi
NAME_TAB_SHEEP,Cừu,Sheep,Domba
NAME_TAB_GOAT,Dê,Goat,Kambing
NAME_TAB_CHICKEN_HABITAT,Chuồng Gà,Chicken Habitat,Kandang Ayam
NAME_TAB_COW_HABITAT,Chuồng Bò,Cow Habitat,Kandang Sapi
NAME_TAB_PIG_HABITAT,Chuồng Heo,Pig Habitat,Kandang Babi
NAME_TAB_SHEEP_HABITAT,Chuồng Cừu,Sheep Habitat,Kandang Domba
NAME_TAB_GOAT_HABITAT,Chuồng Dê,Goat Habitat,Kandang Kambing
NAME_TAB_CAT_HOUSE,Chuồng mèo,Cat House,Kandang Kucing
NAME_TAB_DOG_HOUSE,Chuồng chó,Dog House,Kandang Anjing
NAME_TAB_TABBY_CAT,Mèo vàng,Tabby Cat,Kucing Emas
NAME_TAB_RETRIEVER,Chó lông vàng,Retriever,Anjing kulit kuning
NAME_TAB_CALICO_CAT,Mèo khoang vàng,Calico Cat,Kucing berkulit bundar kuning
NAME_TAB_TUXEDO_CAT,Mèo đen,Tuxedo Cat,Kucing Hitam
NAME_TAB_HOUND_DOG,Chó lạp sườn,Hound,Anjing Hound
NAME_TAB_PINSCHER_DOG,Chó chăn cừu,Pinscher,Anjung Pinscher
NAME_TAB_BROWN_BEAR,Gấu nâu,Brown Bear,Brown Bear
NAME_TAB_WHITE_BEAR,Gấu trắng,White Bear,White Bear
NAME_TAB_BLACK_BEAR,Gấu đen,Black Bear,Black Bear
NAME_TAB_BEAR_HOUSE,Chuồng gấu,House Bear,House Bear
TITLE_INFO,Thông Báo,Announcement,Pengumuman
TITLE_CONFIRM,Xác Nhận,Confirm,Konfirmasi
Text_Info_Full_Inv,Kho đã đầy !,Barn Full!,Gudang sudah penuh
TEXT_NOT_ENOUGH_RESOURCE,Bạn thiếu vật phẩm,Not Enough Resources,Anda kurang barang
Text_Detail_Upgrade_Inv,Sức chứa sau nâng cấp :,Increase Storeage to :,Daya muat setelah upgrade
empty_field_name,Ô đất trống,Empty Field,tanah kosong
chicken_habitat_name,Chuồng Gà,Chicken Habitat,Kandang Ayam
cow_habitat_name,Chuồng Bò,Cow Habitat,Kandang Sapi
pig_habitat_name,Chuồng Heo,Pig Habitat,Kandang Babi
sheep_habitat_name,Chuồng Cừu,Sheep Habitat,Kandang Domba
goat_habitat_name,Chuồng Dê,Goat Habitat,Kandang Kambing
gold_name,Tiền vàng,Gold,Emas
good_egg_name,Trứng Gà,Egg,Telur Ayam
good_milk_name,Sữa Bò,Milk,Susu Sapi
good_bacon_name,Thịt Ba Rọi,Bacon,Daging bagian perut
good_wool_name,Lông Cừu,Wool,Rambut Domda
good_goat_milk_name,Sữa Dê,Goat Milk,Susu Kambing
product_bread_name,Bánh Mì,Bread,Roti
product_corn_bread_name,Bánh Bắp,Corn Bread,Kue Jagung
product_cookie_name,Bánh Quy,Cookie,Kue biskuit
product_raspberry_muffin_name,Bánh Mâm Xôi,Raspberry Muffin,Kue Rapsberry
product_blackberry_muffin_name,Bánh Phúc Bồn Tử,Blackberry Muffin,Kue Blackberry
product_pizza_name,Pizza,Pizza,Pizza
product_spicy_pizza_name,Pizza Cay,Spicy Pizza,Pizza Pedas
product_potato_bread_name,Bánh Khoai Tây,Potato Bread,Kue Kentang
food_chicken_name,Thức Ăn Gà,chicken Feed,Pangan Ayam
food_cow_name,Thức Ăn Bò,Cow Feed,Pangan Sapi
food_pig_name,Thức Ăn Heo,Pig Feed,Pangan Babi
food_sheep_name,Thức Ăn Cừu,Sheep Feed,Pangan Domba
food_goat_name,Thức Ăn Dê,Goar Feed,Pangan Kambing
product_cream_name,Kem Tươi,Cream,Es krim segar
product_butter_name,Bơ,Butter,Mentega
product_cheese_name,Phô Mai,Cheese,Keju
product_goat_cheese_name,Phô  Mai Dê,Goat Cheese,Keju Kambing
product_brown_sugar_name,Đường Vàng,Brown Sugar,Gula kuning
product_white_sugar_name,Đường Cát Trắng,White Sugar,Guna Putih
product_syrup_name,Mật Mía,Syrup,Madu Tebu
product_popcorn_name,Bắp rang,Popcorn,Popcorn
product_buttered_popcorn_name,Bắp Rang Bơ,Buttered Popcor,Popcorn Mentega
product_chili_popcorn_name,Bắp rang cay,Chili Popcorn,Popcorn Pedas
product_pancake_name,Bánh Bột Mỳ,Pancake,Terigu
product_bacon_and_eggs_name,Trứng Ốp La,Bacon and Eggs,Telur Mata Sapi
product_hamburger_name,Hamburger,Hamburger,Hamburger
product_roasted_tomatoes_name,Cà Chua Nướng,Roasted Tomatoes,Tomato bakar
product_baked_potato_name,Khoai Nướng Bơ,Baked Potato,Kentang goreng mentega
product_pumpkin_pie_name,Bánh Bí Ngô,Pumpkin Pie,Kue Labu
product_carrot_pie_name,Bánh Cà Rốt,Carrot Pie,Kue Wortel
product_bacon_pie_name,Bánh Thịt Nướng,Bacon Pie,Kue Daging Bakar
product_apple_pie_name,Bánh Táo,Apple Pie,Kue Apel
